                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97097,                 2.9819,                  1.288,                0.00333,                      1,                0.97451,                0.79573,                0.49785,                 2.9407,                0.94346,                0.00044,                0.00044,                0.00044
                      2,                0.65834,                 2.0585,                 1.0492,                0.00333,                      1,                  0.995,                 0.7878,                0.67194,                 2.8271,                 1.1302,             0.00089109,             0.00089109,             0.00089109
                      3,                0.61352,                 1.5085,                 0.9713,                0.85395,                      1,                  0.995,                0.82159,                 0.5909,                  2.707,                0.98874,              0.0013331,              0.0013331,              0.0013331
                      4,                0.59308,                 1.4031,                0.99198,                      1,                0.36838,                0.95963,                0.65618,                0.87543,                 2.6725,                 1.2298,              0.0017659,              0.0017659,              0.0017659
                      5,                0.72709,                 1.5807,                 1.0636,                0.93648,                0.64156,                0.81135,                0.58947,                0.96524,                 2.7048,                 1.2628,              0.0019208,              0.0019208,              0.0019208
                      6,                0.61905,                 1.4902,                 1.0031,                0.95587,                0.94208,                0.98168,                0.81915,                0.65127,                 2.0114,                 1.0525,               0.001901,               0.001901,               0.001901
                      7,                0.57239,                  1.328,                0.96959,                 0.9855,                0.86957,                0.95131,                0.78605,                0.66803,                 1.4524,                 1.1163,              0.0018812,              0.0018812,              0.0018812
                      8,                0.52243,                 1.2313,                0.92882,                0.93907,                      1,                0.98958,                0.82416,                0.65104,                 1.3528,                 1.0844,              0.0018614,              0.0018614,              0.0018614
                      9,                0.52978,                 1.1294,                 0.9327,                0.94923,                      1,                0.98792,                0.82205,                0.77952,                 1.2818,                 1.1509,              0.0018416,              0.0018416,              0.0018416
                     10,                0.50017,                 1.1423,                0.92571,                0.95097,                      1,                0.99167,                0.82915,                0.70361,                  1.293,                 1.0835,              0.0018218,              0.0018218,              0.0018218
                     11,                0.47991,                  1.001,                0.90971,                0.91609,                      1,                 0.9918,                0.83624,                0.63561,                 1.1396,                 1.0687,               0.001802,               0.001802,               0.001802
                     12,                0.48646,                0.96987,                0.90283,                0.94409,                      1,                0.98958,                0.82637,                0.68074,                 1.1125,                 1.0534,              0.0017822,              0.0017822,              0.0017822
                     13,                0.43318,                0.90756,                0.88622,                0.94988,                      1,                0.99333,                0.85641,                0.65297,                 1.0302,                 1.0539,              0.0017624,              0.0017624,              0.0017624
                     14,                0.39914,                0.85865,                0.86321,                0.95825,                0.99801,                0.99333,                0.84075,                0.66947,                 1.0377,                 1.0572,              0.0017426,              0.0017426,              0.0017426
                     15,                0.36853,                0.80916,                0.85017,                0.95646,                      1,                0.99333,                0.85801,                0.59397,                0.91472,                 1.0186,              0.0017228,              0.0017228,              0.0017228
                     16,                0.37422,                0.75757,                0.85642,                0.99862,                      1,                  0.995,                0.86992,                0.59209,                0.94111,                 1.0292,               0.001703,               0.001703,               0.001703
                     17,                0.34812,                0.72811,                0.83599,                0.99223,                      1,                  0.995,                0.83025,                0.67425,                0.85163,                 1.0687,              0.0016832,              0.0016832,              0.0016832
                     18,                0.35215,                0.69319,                0.84004,                0.99046,                      1,                  0.995,                0.84718,                0.66815,                0.88642,                 1.0393,              0.0016634,              0.0016634,              0.0016634
                     19,                0.32361,                0.65444,                0.82831,                0.99613,                      1,                  0.995,                 0.8769,                0.61511,                0.84586,                 1.0033,              0.0016436,              0.0016436,              0.0016436
                     20,                0.28485,                0.61466,                0.81681,                      1,                0.99454,                  0.995,                 0.8711,                0.60883,                0.75326,                 1.0224,              0.0016238,              0.0016238,              0.0016238
                     21,                0.25379,                0.57259,                0.80521,                      1,                0.99182,                  0.995,                0.87295,                0.59216,                0.71933,                0.99582,               0.001604,               0.001604,               0.001604
                     22,                0.25636,                0.55547,                0.80168,                0.95443,                      1,                0.99333,                 0.8744,                0.59704,                0.72414,                 1.0047,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.2253,                0.51467,                0.79613,                0.99753,                      1,                  0.995,                0.88282,                0.59365,                0.70415,                 1.0072,              0.0015644,              0.0015644,              0.0015644
                     24,                0.21808,                0.48036,                0.79349,                0.99673,                      1,                  0.995,                0.87827,                0.58007,                0.67814,                 0.9925,              0.0015446,              0.0015446,              0.0015446
                     25,                0.20697,                0.46505,                0.78641,                 0.9972,                      1,                  0.995,                0.85684,                0.60624,                 0.6798,                 1.0133,              0.0015248,              0.0015248,              0.0015248
                     26,                0.19818,                0.44846,                0.78649,                0.99644,                      1,                  0.995,                0.85835,                0.59048,                 0.6518,                0.99677,               0.001505,               0.001505,               0.001505
                     27,                0.20108,                0.42501,                0.79041,                0.99325,                      1,                  0.995,                0.84642,                0.59896,                0.64904,                0.99952,              0.0014852,              0.0014852,              0.0014852
                     28,                0.17929,                0.40341,                0.78479,                0.99616,                      1,                  0.995,                0.86587,                0.61153,                0.61724,                 1.0089,              0.0014654,              0.0014654,              0.0014654
                     29,                0.17226,                0.38473,                 0.7817,                0.99663,                      1,                  0.995,                0.88016,                0.59008,                 0.5949,                0.99575,              0.0014456,              0.0014456,              0.0014456
                     30,                0.17692,                0.37774,                0.77962,                0.99621,                      1,                  0.995,                0.88783,                0.59631,                0.58555,                 1.0049,              0.0014258,              0.0014258,              0.0014258
                     31,                0.16462,                0.35748,                 0.7767,                0.99626,                      1,                  0.995,                0.88739,                0.57881,                0.55711,                 1.0005,               0.001406,               0.001406,               0.001406
                     32,                0.16232,                0.34368,                0.77843,                0.99504,                      1,                  0.995,                0.87722,                0.57028,                0.56485,                0.98978,              0.0013862,              0.0013862,              0.0013862
                     33,                0.15339,                0.33269,                0.77159,                0.99406,                      1,                  0.995,                0.87351,                0.57409,                0.54199,                0.98975,              0.0013664,              0.0013664,              0.0013664
                     34,                0.14729,                0.32341,                0.77315,                0.99495,                      1,                  0.995,                0.86671,                0.57852,                0.57839,                 0.9931,              0.0013466,              0.0013466,              0.0013466
                     35,                0.14736,                0.31061,                0.77525,                0.99538,                      1,                  0.995,                0.87206,                0.59657,                0.56248,                 1.0022,              0.0013268,              0.0013268,              0.0013268
                     36,                0.14157,                0.29712,                  0.774,                0.99641,                      1,                  0.995,                0.86816,                 0.5972,                0.54056,                   1.02,               0.001307,               0.001307,               0.001307
                     37,                0.14686,                0.29324,                0.77255,                0.99621,                      1,                  0.995,                0.87431,                0.58955,                0.53609,                 1.0161,              0.0012872,              0.0012872,              0.0012872
                     38,                0.13919,                0.27863,                0.77333,                0.99668,                      1,                  0.995,                0.87367,                0.58919,                0.51941,                 1.0175,              0.0012674,              0.0012674,              0.0012674
                     39,                0.13534,                0.27427,                0.77262,                0.99599,                      1,                  0.995,                0.86407,                0.60232,                0.51807,                 1.0267,              0.0012476,              0.0012476,              0.0012476
                     40,                0.12958,                0.26277,                0.77123,                0.99606,                      1,                  0.995,                0.86461,                0.57607,                0.50493,                0.99952,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.1256,                0.25492,                0.76782,                0.99566,                      1,                  0.995,                 0.8652,                0.57916,                0.51296,                0.99667,               0.001208,               0.001208,               0.001208
                     42,                0.12069,                0.24623,                 0.7708,                0.99588,                      1,                  0.995,                0.85739,                0.59693,                0.52279,                0.99923,              0.0011882,              0.0011882,              0.0011882
                     43,                0.13029,                0.25243,                0.76739,                0.99633,                      1,                  0.995,                0.86277,                0.58653,                 0.4973,                0.99853,              0.0011684,              0.0011684,              0.0011684
                     44,                0.12344,                0.23913,                0.77099,                0.99622,                      1,                  0.995,                0.86782,                0.58674,                0.48942,                 1.0061,              0.0011486,              0.0011486,              0.0011486
                     45,                0.11153,                0.22826,                0.76457,                0.99634,                      1,                  0.995,                0.87025,                0.60223,                0.48727,                 1.0149,              0.0011288,              0.0011288,              0.0011288
                     46,                0.10987,                0.22412,                0.76917,                0.99611,                      1,                  0.995,                0.86836,                0.60123,                 0.4855,                 1.0121,               0.001109,               0.001109,               0.001109
                     47,                0.10984,                0.22228,                0.76853,                0.99582,                      1,                  0.995,                0.87273,                0.58479,                 0.4771,                 1.0004,              0.0010892,              0.0010892,              0.0010892
                     48,                0.11347,                0.21624,                0.76849,                 0.9958,                      1,                  0.995,                0.86802,                0.58778,                0.49185,                 1.0031,              0.0010694,              0.0010694,              0.0010694
                     49,                0.10834,                0.20592,                0.76643,                0.99653,                      1,                  0.995,                0.87173,                0.59686,                 0.4848,                 1.0055,              0.0010496,              0.0010496,              0.0010496
                     50,                0.10126,                0.19988,                0.76726,                0.99675,                      1,                  0.995,                0.89164,                0.58329,                0.48304,                 1.0025,              0.0010298,              0.0010298,              0.0010298
                     51,                0.09355,                0.19315,                 0.7644,                0.99699,                      1,                  0.995,                0.88198,                 0.5728,                0.47124,                0.99662,                0.00101,                0.00101,                0.00101
                     52,                0.09265,                0.18766,                0.76331,                0.99669,                      1,                  0.995,                0.88299,                0.57858,                0.46781,                0.99871,              0.0009902,              0.0009902,              0.0009902
                     53,                0.09292,                0.18918,                0.76244,                0.99684,                      1,                  0.995,                0.88423,                0.58015,                 0.4528,                0.99942,              0.0009704,              0.0009704,              0.0009704
                     54,                0.09121,                0.18568,                0.76378,                 0.9966,                      1,                  0.995,                0.87675,                0.59106,                0.44781,                0.99884,              0.0009506,              0.0009506,              0.0009506
                     55,                0.08531,                0.17452,                0.76138,                0.99645,                      1,                  0.995,                0.87355,                0.58471,                0.44486,                0.99237,              0.0009308,              0.0009308,              0.0009308
                     56,                0.08067,                0.17212,                0.75969,                0.99501,                      1,                  0.995,                 0.8857,                0.58839,                  0.457,                0.99115,               0.000911,               0.000911,               0.000911
                     57,                0.08882,                0.17272,                0.76466,                0.99429,                      1,                  0.995,                0.88587,                0.59127,                0.45819,                0.98964,              0.0008912,              0.0008912,              0.0008912
                     58,                0.07732,                 0.1632,                0.76391,                0.99351,                      1,                  0.995,                0.87918,                0.58062,                 0.4621,                0.98501,              0.0008714,              0.0008714,              0.0008714
